Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Admission status,Closed
23379,Kathwana Dispensary,Kathwana Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Tharaka Nithi,Chuka/Igambang'ombe,Igambangombe,Igambang'ombe,Operational,None,No
23443,Aga KhanUniversity Hospital Thika Medical Centre,Aga Khan Medical Centre (Thika),013978,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Pharmacy & Poisons Board,0,0,Kiambu,Thika Town,Thika Town,Township,Operational,None,No
23378,Nyambene Medical Clinic(Karama),Nyambene Medical Clinic(Karama),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Meru,Tigania East,Tigania East,Karama,Operational,None,No
23377,Maple Grove Medical Centre,Maple Groove Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,2,0,Kirinyaga,Mwea,Kirinyaga South,Tebere,Operational,None,No
23376,Trinity Medical Clinic,Trinity Medical Clinic,005756,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kiambu,Gatundu North,Gatundu North,Mang'u,Operational,None,No
23375,Shamsu Health Care,Shamsu Health Care,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,None,13,0,Garissa,Ijara,Ijara,Masalani,Operational,None,No
23414,Kware Dispensary,Kware Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,4,0,Nairobi,Embakasi South,Embakasi South,Kware,Operational,None,No
23373,Mihang'o Community Dispensary,Mihang'o Community Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,3,0,Nairobi,Embakasi East,Embakasi East,Mihango,Operational,None,No
23372,BLISS GVS HEALTHCARE LIMITED BONDO,BLISS GVS HEALTHCARE LIMITED BONDO,006597,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,7,0,Siaya,Bondo,Bondo,West Sakwa,Operational,None,No
23374,Densmile Dental Clinic,Densmile Dental Clinic,005770,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,None,No
23371,Katulani Dispensary - Kbz west,Katulani Dispensary -(Kibwezi West),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,1,1,Makueni,Kibwezi West,Kibwezi West,Nguu/Masumba,Operational,None,No
23370,Medwin Medical Centre,Medwin Medical Centre,014608,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kiambu,Juja,Juja,Kalimoni,Operational,None,No
23386,Emmafra Medical Clinic,Emmafra Medical Clinic,2477,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Machakos,Kangundo,Kangundo,Kangundo Central,Operational,None,No
24062,Mbuani Dispensary,Mbuani Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Machakos,Machakos Town,Kalama,Kola,Operational,None,No
23367,OLENGURUONE MEDICAL DIAGNOSTIC CENTRE,OLENGURUONE MEDICAL DIAGNOSTIC CENTRE,010752,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice Lab Technician/Technologist,Private Practice,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,Nakuru,Kuresoi South,Kuresoi South,Amalo,Operational,None,No
23366,Kakuzi Limited Makuyu Dispensary,Kakuzi Limited Makuyu Dispensary,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,None,0,0,Muranga,Maragwa,muranga south,Makuyu,Operational,None,No
23364,Airtech Medical Clinic,Airtech Medical Clinic,2345,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Tharaka Nithi,Tharaka,Tharaka South,Nkondi,Operational,None,No
23365,Gakira Family Health Care,Gakira Family Health Care,011170,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Muranga,Kigumo,Kigumo,Kangari,Operational,None,No
23368,Kombani Mat Clinic,Kombani Mat Clinic,n/a,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kwale,Matuga,Matuga,Waangombeni,Operational,None,No
23631,Aga khan Medical Clinic Ruaka,Aga khan Medical Clinic Ruaka,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,1,0,Kiambu,Kiambaa,Kiambaa,Ndenderu,Operational,None,No
23363,Marian Medical and Dental clinic,Marian Medical and Dental clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Muranga,Maragwa,muranga south,Kimorori/Wempa,Operational,None,No
23427,Nemu Medical Clinic,Nemu Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kakamega,Navakholo,Navakholo,Bunyala East,Operational,None,No
23429,Bunyala Medical Clinic,Bunyala Medical Clinic,007367,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kakamega,Navakholo,Navakholo,Bunyala Central,Operational,None,No
23361,Bliss GVS Health Care (college House),Bliss GVS Health Care (college House),007730,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,None,No
23360,Bliss GVS Health Care (Telepost Clinic),Bliss GVS Health Care (Teleposta Clinic),003510,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,None,No
23359,Makindu Medical Centre,Makindu Medical & Sugical Centre,None,Level 4,Nursing Homes,NURSING HOME,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,37,0,Makueni,Kibwezi West,Kibwezi West,Makindu,Operational,Admitting General & Maternity Patients,No
23358,Gaceraka Dispensary,Gaceraka Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Tharaka Nithi,Tharaka,Tharaka South,Chiakagira,Operational,None,No
23357,Gakirwe Dispensary,Gakirwe Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Tharaka Nithi,Tharaka,Tharaka South,Chiakagira,Operational,None,No
23362,Mariakani Nursing Home and Rehabilitation Centre (South C),Mariakani Nursing Home and Rehabilitation Centre,006292,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Institution Academic,Private Practice,Pharmacy & Poisons Board,43,0,Nairobi,Langata,Langata,South C,Operational,None,No
23356,Kwabome Medical Clinic,Kwabome Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Tigania East,Tigania Central,Mikinduri,Operational,None,No
23657,Bliss gvs medical Center,Bliss GVS medical Center,15868,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nyeri,Nyeri South,Nyeri South,Karima,Closed,None,Yes
23355,Lucy's Medical Clinic,Lucy Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Tigania East,Tigania Central,Mikinduri,Operational,None,No
23354,Jeka Health Care,Jeka Health Care,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Tigania East,Tigania Central,Mikinduri,Operational,None,No
23353,Bushira Medical centre,Bushira Medical centre,2017006425,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,20,0,Tana River,Galole,Galole,Chewani,Operational,None,No
23351,Liban Chemist and Optical Services,Liban Chemist and Optical Services,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,None,0,0,Marsabit,Saku,Saku,Marsabit Central,Operational,None,No
23350,Mother and Child Medical Clinic,Mother and Child Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),8,0,Mandera,Mandera East,Mandera East,Township,Closed,None,Yes
23349,Destiny Medical Centre,Destiny Medical Centre,8480,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kiambu,Ruiru,Ruiru,Kahawa/Sukari,Operational,None,No
23430,Flomed Medical  Clinic,Flomed Medical Clinic,004277,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kiambu,Ruiru,Ruiru,Kiuu,Operational,None,No
23346,Sunrise Medical Clinic,Sunrise Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,2,0,Makueni,Mbooni,Mbooni,Tulimani,Operational,None,No
23345,Lengusaka Dispensary,Lengusaka Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu East,Samburu East,Wamba East,Operational,None,No
23343,Devans Medical clinic,Devans Medical clinic,006280,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nakuru,Nakuru Town West,Nakuru West,Rhoda,Operational,None,No
23344,Neo Solution Medical Center,Neo Solution Medical Centre,008030,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),15,10,Makueni,Makueni,Makueni,Wote,Operational,None,No
23342,Mama Asha Nursing Home,Mama Asha Nursing Home,014414,Level 3,Comprehensive health Centre,HEALTH CENTRE,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),11,1,Mandera,Mandera East,Mandera East,Township,Operational,None,No
23340,Goodlife Medical Centre Kambu,Goodlife Medical Centre Kambu,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),2,0,Makueni,Kibwezi East,Kibwezi East,Ivingoni/Nzambani,Operational,None,No
23338,Medisprings Medical Centre,Medisprings Medical Centre,004453,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,2,Nakuru,Njoro,Njoro,Njoro,Operational,Not Admitting Patients,No
23436,Amani Medical Centre,Amani Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Uasin Gishu,Ainabkoi,Ainabkoi,Kapsoya,Operational,None,No
23337,Nogirwet dispensary,Nogirwet dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Bomet,Chepalungu,Chepalungu,Chebunyo,Operational,None,No
23336,Primex Medical Clinic,Primex Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Meru,South Imenti,Imenti South,Igoji East,Operational,None,No
23335,Githuya DisGpensary,Githuya Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Muranga,Maragwa,muranga south,Ichagaki,Operational,None,No
23334,Star General Medical Centre,Star General Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Lucky Summer,Operational,None,No
23331,St.Teresa Cfw Clinic,St Teresa CFW Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Embu,Manyatta,Manyatta,Gaturi South,Operational,None,No
23329,St.Augustine CFW Clinic(Embu),St Augustine CFW Clinic (Embu),001957,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Embu,Manyatta,Manyatta,Kithimu,Operational,None,No
23328,Good Shepherd Life Care Centre(Embu),Good Shepherd Life Care Centre(Embu),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Embu,Manyatta,Manyatta,Kirimari,Operational,None,No
23330,Siha Medical Home,Siha Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,30,3,Tana River,Galole,Galole,Chewani,Operational,None,No
23333,Tawhed community,Tawhed community,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,None,15,4,Tana River,Galole,Galole,Chewani,Operational,None,No
23327,Ahero Annex Healthcare Ltd,Ahero Annex Healthcare Ltd,003754,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,2,3,Kisumu,Nyando,Nyando,Ahero,Operational,None,No
23326,Phense Medical Clinic,Phense Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kirinyaga,Ndia,Kirinyaga West,Kiine,Closed,None,Yes
23323,Mvindeni,Mvindeni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Kwale,Msambweni,Msambweni,Kinondo,Operational,None,No
23322,Ganja La Simba,Ganja La Simba Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Kwale,Msambweni,Msambweni,Kinondo,Operational,None,No
23321,Bilbil Dispensary(Bura),Bilbil Dispensary (Bura ),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Tana River,Bura,Bura,Bura,Operational,None,No
23320,Sabukia Dispensary( Tana North),Sabukia Dispensary (Tana North),25381,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Tana River,Bura,Bura,Bura,Operational,None,No
23319,Mororo Dispensary,Mororo Dispensary,25399,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Tana River,Bura,Bura,Sala,Operational,None,No
23318,KAG  SOMBO  DISkagPENSARY,Sombo (KAG ) Dispensary,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Tana River,Bura,Bura,Sala,Operational,None,No
23341,Karamah Medical Clinic,Karamah Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Meru,Tigania East,Tigania East,Karama,Operational,None,No
23316,Partners In Life Support Health Services (KARIAMU),Partners In Life Support Health Services (Kariamu),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nyandarua,Ol Kalou,Olkalou,Kaimbaga,Operational,None,No
23317,Kayole Dispensary,Kayole Dispensary,0,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nakuru,Naivasha,Naivasha,Lake View,Operational,None,No
23315,Imarah Health Limited,Imarah Health Limited,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,None,0,0,Kiambu,Kiambaa,Kiambaa,Ndenderu,Operational,None,No
23314,Ndoroto Dispensary,Ndoroto Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Nakuru,Naivasha,Naivasha,Naivasha East,Operational,None,No
23313,Madina diagnostic,Madina Diagnostic Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Tana River,Galole,Galole,Chewani,Operational,None,No
23312,Chanzou Dispensary,Chanzou Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kwale,Kinango,Kinango,Chengoni/Samburu,Operational,None,No
21256,Gandini Dispensary (Kinango),Gandini Dispensary (Kinango),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Kwale,Kinango,Kinango,Kinango,Operational,None,No
23309,Joscare Medical Clinic,Joscare Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Taita Taveta,Taveta,Taveta,Bomani,Operational,None,No
23310,Alfatah,Alfatah Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Taita Taveta,Taveta,Taveta,Bomani,Operational,None,No
23308,Eastgate Medical Centre,Eastgate Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),6,0,Mandera,Mandera East,Mandera East,Township,Closed,None,Yes
23304,Utange Medical Centre,Utange Medical Centre,None,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,12,0,Mombasa,Kisauni,Kisauni,Shanzu,Operational,None,No
23303,Maraba Pharmacy Clinic,Maraba Pharmacy Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kakamega,Lurambi,Lurambi,Sheywe,Operational,None,No
23302,Albertol Medicare,Albertol Medicare,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,3,0,Kajiado,Kajiado South,Loitokitok,Kuku,Operational,None,No
23305,Nyali Bridge Hospital,Nyali Bridge Hospital,None,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Mombasa,Kisauni,Kisauni,Junda,Operational,None,No
23301,Cheboin Community Medical Clinic,Cheboin Community Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,None,0,0,Kericho,Bureti,Bureti,Cheboin,Operational,None,No
23300,MIRAJ2,MIRAJ MEDICAL CENTRE,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,10,5,Mandera,Mandera West,Mandera West,Takaba,Operational,None,No
23297,Kabete Gardens Hospital,Kabete Gardens Hospital,None,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,None,120,2,Kiambu,Kabete,Kabete,Nyadhuna,Operational,None,No
24102,Oyugis Outpatient Medical Centre,Oyugis Outpatient Medical Centre,4416,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Homa Bay,Kasipul,Rachuonyo South,West Kamagak,Operational,None,No
23402,Qoqar,Qoqar Dispensary,N/A,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,1,1,Wajir,Wajir South,Wajir South,Lagboghoi South,Operational,None,No
23307,Kombosang,Kombosang,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Baringo,Baringo North,Baringo North,Barwessa,Operational,None,No
23306,Maregut,Maregut,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Baringo,Baringo North,Baringo North,Barwessa,Operational,None,No
23484,Lutunda medical centre,Lutunda medical centre,9358,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Trans Nzoia,Kiminini,Kiminini,Nabiswa,Operational,None,No
23294,Stadium Medical Clinic,Stadium Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Mombasa,Mvita,Mvita,Tononoka,Operational,None,No
23293,Polycare Medical Clinic,Polycare Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kitui,Mwingi West,Mwingi West,Nguutani,Operational,None,No
23292,Pevlink Services Ltd,Pevlink Services Ltd,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,10,0,Bungoma,Sirisia,Sirisia,Malakisi/South Kulisiru,Operational,None,No
23291,Sky Medical Center,Sky Medical Center,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Laikipia,Laikipia West,Laikipia West,Rumuruti Township,Operational,None,No
23496,Ninelle Health Care Mjini Clinic(machakos),Ninelle Health Care Mjini Clinic (machakos),12692,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Machakos,Machakos Town,Machakos,Machakos Central,Operational,None,No
23290,St. Paul's Dawa Medical clinic,St. Paul's Dawa Medical clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Migori,Uriri,Uriri,Central Kanyamkago,Operational,None,No
23289,Nelion Doctors Plaza,Nelion Doctors Plaza,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,None,1,0,Nyeri,Nyeri Town,Nyeri Central,Rware,Operational,None,No
23288,Reale Hospital Clinic,Reale Hospital Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,None,0,0,Nandi,Emgwen,Emgwen,Kapsabet,Operational,None,No
24616,Sunrays Medical Clinic,Sunrays Medical Clinic,pending,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,Kirinyaga,Ndia,Kirinyaga West,Kariti,Operational,None,No
23285,Chaani Catholic,Chaani Catholic Dispensary,None,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,2,0,Mombasa,Changamwe,Changamwe,Chaani,Operational,None,No
23284,Saphire Healthcare Nursing Home,Saphire Healthcare Nursing Home,None,Level 3,Comprehensive health Centre,HEALTH CENTRE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,15,1,Mandera,Mandera East,Mandera East,Township,Operational,None,No
23283,Al Manar Nursing Home,Al Manar Nursing Home,006931,Level 3,Comprehensive health Centre,HEALTH CENTRE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,30,0,Mandera,Mandera East,Mandera East,Township,Operational,Admitting General & Maternity Patients,No
23282,The Avenue Medical And Diagnostic Centre (Mikinduri),The Avenue Medical And Diagnostic Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,24,2,Meru,Tigania East,Tigania Central,Mikinduri,Operational,None,No
23279,REHEAL MEDICAL CLINIC,REHEAL MEDICAL CLINIC,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Baringo,Baringo Central,Baringo Central,Kabarnet,Operational,None,No
23277,Kisumo Medical Centre,Kisumo Medical Centre,0141816,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,6,0,Kitui,Mwingi Central,Mwingi Central,Central,Operational,None,No
23276,Kirimachuma APLSC Dispensara,Kirimachuma APLSC Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Meru,Tigania East,Tigania Central,Kinguchwa,Operational,None,No
23275,Thagana County Medical Centre,Thagana County Medical Centre,14758,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,30,0,Kirinyaga,Ndia,Kirinyaga West,Kariti,Operational,Admitting General & Maternity Patients,No
23273,Chepsoo Medical Centre Tinderet,Chepsoo Medical Centre Tinderet,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nandi,Tinderet,Tinderet,Songhor/Soba,Operational,None,No
23272,Lafey Care Nursing Home,Lafey Care Nursing Home,None,Level 3,Comprehensive health Centre,HEALTH CENTRE,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),8,0,Mandera,Mandera East,Mandera East,Township,Closed,None,Yes
23271,Guardian Family Care Likuyani,Guardian Family Care Likuyani,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,3,0,Kakamega,Likuyani,Likuyani,Nzoia,Non-Operational,None,No
23267,Kimela Dispensary,Kimela Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Kitui,Mwingi North,Mwingi North,Ngomeni,Non-Operational,None,No
23266,Friend's Medical Clinic Matunda,Friend's Medical Clinic Matunda,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kakamega,Likuyani,Likuyani,Nzoia,Non-Operational,Not Admitting Patients,No
23270,Fino Nursing Home Limited,Fino Nursing Home Limited,None,Level 3,Comprehensive health Centre,HEALTH CENTRE,Private Practice - Private Institution Academic,Private Practice,None,11,0,Mandera,Mandera East,Mandera East,Arabia,Operational,None,No
23265,Mandongoi Dispensary,Mandongoi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,1,1,Kitui,Mwingi North,Mwingi North,Ngomeni,Non-Operational,None,No
23264,Kwa Song'e Dispensary,Kwa Song'e Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kitui,Kitui South,Kitui South,Ikanga/Kyatune,Non-Operational,None,No
23262,Moi's. Bridge Medical Centre Likuyani,Moi's Bridge Medical Centre Likuyani,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),4,0,Kakamega,Likuyani,Likuyani,Sinoko,Closed,None,Yes
23261,MYKView Point Medical Centre,MYK View Point Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),1,0,Nakuru,Nakuru Town West,Nakuru West,Kaptembwo,Operational,None,No
23260,KANNEX MEDICAL CLINIC,Kannex (PCEA) Medical Clinic,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nakuru,Subukia,Subukia,Subukia,Operational,None,No
